"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Mar 19 16:15:24 GMT 2023","Sun Mar 19 16:15:24 GMT 2023","1","importWallet","import/seed","import/password","","","#2-1 输入的密码:👋👋👋👋👋👋👋👋👋👋👋=>报错",""
"passed","Sun Mar 19 16:14:03 GMT 2023","Sun Mar 19 16:14:09 GMT 2023","5819","create a wallet","create/account","create/password","","","#1 输入密码少于8位, 就点击next=>报错",""
"passed","Sun Mar 19 16:16:04 GMT 2023","Sun Mar 19 16:16:05 GMT 2023","901","popup","","","","","查询名字和 UserName:xm一致",""
"passed","Sun Mar 19 16:15:34 GMT 2023","Sun Mar 19 16:15:40 GMT 2023","6137","importWallet","import/seed","import/password","","","#5 还没输入用户名,点击继续 => 无法点击继续",""
"broken","Sun Mar 19 16:16:47 GMT 2023","Sun Mar 19 16:16:47 GMT 2023","1","notification","signTransaction","","","","""before all"" hook for ""signTransaction(type:fullOwnership),expected:mooooock signed data""",""
"passed","Sun Mar 19 16:14:46 GMT 2023","Sun Mar 19 16:14:52 GMT 2023","5785","importWallet","import/seed","","","","#1 输入的助记词包含重复的单词 # 无法导入助记词",""
"passed","Sun Mar 19 16:13:37 GMT 2023","Sun Mar 19 16:13:45 GMT 2023","7889","prepare","","","","","init",""
"passed","Sun Mar 19 16:15:30 GMT 2023","Sun Mar 19 16:15:34 GMT 2023","3809","importWallet","import/seed","import/password","","","#4 还没点击 agree 按钮，点击继续=>无法点击继续 ",""
"passed","Sun Mar 19 16:15:40 GMT 2023","Sun Mar 19 16:15:46 GMT 2023","6227","importWallet","import/seed","import/password > import/account","","","#1 还没输入用户名,点击继续 => 无法点击继续",""
"passed","Sun Mar 19 16:15:24 GMT 2023","Sun Mar 19 16:15:30 GMT 2023","6224","importWallet","import/seed","import/password","","","#3 输入的密码,和确认密码不一致=>无法点击继续 ",""
"broken","Sun Mar 19 16:15:53 GMT 2023","Sun Mar 19 16:16:03 GMT 2023","10084","demo","","","","","0-signData test",""
"skipped","Sun Mar 19 16:15:50 GMT 2023","Sun Mar 19 16:15:50 GMT 2023","0","importWallet","import/seed","import/password > import/account","","","#3-0 输入的用户名包含特殊符号，中文，表情等: => 报错",""
"passed","Sun Mar 19 16:13:54 GMT 2023","Sun Mar 19 16:14:00 GMT 2023","5570","create a wallet","create/account","","","","#1 还没输入用户名,点击继续 => 无法点击继续",""
"passed","Sun Mar 19 16:16:16 GMT 2023","Sun Mar 19 16:16:17 GMT 2023","585","popup","","","","","能够点击whitelist-sites",""
"passed","Sun Mar 19 16:14:00 GMT 2023","Sun Mar 19 16:14:03 GMT 2023","2517","create a wallet","create/account","","","","#2 还没输入用户名,点击back => 返回成功",""
"passed","Sun Mar 19 16:15:53 GMT 2023","Sun Mar 19 16:15:53 GMT 2023","18","demo","","","","","连接成功之后,connectButton 按钮将改为关闭状态",""
"skipped","Sun Mar 19 16:15:50 GMT 2023","Sun Mar 19 16:15:50 GMT 2023","0","importWallet","import/seed","import/password > import/account","","","#4 输入的用户名过长 => 限制长度",""
"broken","Sun Mar 19 16:16:06 GMT 2023","Sun Mar 19 16:16:16 GMT 2023","10412","popup","","","","","连接网站时,查询连接状态为已连接,关闭后为未连接",""
"failed","Sun Mar 19 16:16:05 GMT 2023","Sun Mar 19 16:16:06 GMT 2023","422","popup","","","","","没有连接网站时=>查询连接状态为未连接",""
"passed","Sun Mar 19 16:15:10 GMT 2023","Sun Mar 19 16:15:12 GMT 2023","2146","importWallet","import/seed","","","","#5 点击返回=> 返回成功",""
"passed","Sun Mar 19 16:15:04 GMT 2023","Sun Mar 19 16:15:10 GMT 2023","5830","importWallet","import/seed","","","","#4 词库外的单词https://github.com/bitcoin/bips/blob/master/bip-0039/english.txt => 无法导入助记词",""
"broken","Sun Mar 19 16:13:45 GMT 2023","Sun Mar 19 16:13:53 GMT 2023","8121","create a wallet","","","","","#1 确认助记词成功#成功创建账户",""
"passed","Sun Mar 19 16:15:46 GMT 2023","Sun Mar 19 16:15:50 GMT 2023","3379","importWallet","import/seed","import/password > import/account","","","#2 还没输入用户名,点击back => 返回成功",""
"passed","Sun Mar 19 16:16:17 GMT 2023","Sun Mar 19 16:16:18 GMT 2023","568","popup","","","","","能够点击network",""
